,Employer,salary_total_x,salary_total_y,change,y,Sector
291,County of Northumberland,4258656.18,2509796.9,69.68130688184371,0,Municipalities and Services
292,Town of Amherstburg,4223549.06,3933030.59,7.386631335608285,0,Municipalities and Services
293,County of Essex,4221383.1899999995,3261360.6400000006,29.43625854269214,0,Municipalities and Services
294,Champlain Community Care Access Centre,4203586.089999999,3506869.59,19.86719158267871,0,Other Public Sector Employers
295,Rainy River District School Board,4149192.86,5074405.13,-18.232920831057097,0,School Boards
296,Huron University College,4121627.659999999,3874782.5700000003,6.3705533288800575,0,Universities
297,Town of Aurora,4115310.5300000007,3831167.97,7.416604080661093,0,Municipalities and Services
298,St. Jerome's University,4112686.2399999998,3477824.629999999,18.254560753973404,0,Universities
299,Workplace Safety and Prevention Services,4073733.9200000013,3582869.6999999997,13.700309000910682,0,Other Public Sector Employers
300,Metropolitan Toronto Convention Centre Corporation,4069007.7999999993,3195673.4900000007,27.32864645693194,0,Crown Agencies
301,Simcoe Muskoka District Health Unit,3991358.2400000007,3879388.4699999993,2.886273722414856,0,Hospitals and Boards of Public Health
302,AgriCorp,3961235.7400000007,4734156.0,-16.32646368222761,0,Crown Agencies
303,Ottawa Community Housing Corporation,3956359.63,3491936.7,13.299866804572936,0,Municipalities and Services
304,Trillium Gift of Life Network,3888364.47,3303570.4800000004,17.701877212560625,0,Crown Agencies
305,Northeastern Catholic District School Board,3870838.319999999,3825679.669999999,1.1804085520835006,0,School Boards
306,Conseil scolaire public du Nord-Est de l'Ontario,3824572.8500000015,6000869.349999999,-36.266353640910346,0,School Boards
307,Ontario Labour Relations Board,3824469.6600000006,3354097.5,14.02380700024375,0,Crown Agencies
308,County of Huron,3678597.41,3332508.3900000006,10.385240770541593,0,Municipalities and Services
309,Norfolk General Hospital,3655971.9400000004,3723997.02,-1.826668486431804,0,Hospitals and Boards of Public Health
310,St. Thomas Elgin General Hospital,3609303.4800000004,4435572.86,-18.62824501094995,0,Hospitals and Boards of Public Health
311,Town of Innisfil,3509682.5299999993,3026194.1000000006,15.976781859431899,0,Municipalities and Services
312,Simcoe Muskoka Child Youth and Family Services,3503543.5799999996,3040723.0000000005,15.22074125134052,0,Other Public Sector Employers
313,Erie St. Clair Community Care Access Centre,3472417.580000001,4289631.660000001,-19.05091496830289,0,Other Public Sector Employers
314,Deposit Insurance Corporation of Ontario,3445418.25,3209874.8000000003,7.338088388992614,0,Crown Agencies
315,County of Lambton,3372396.6,2621437.37,28.64684995316138,0,Municipalities and Services
316,Brockville General Hospital,3366977.33,2947958.8199999994,14.213852213851519,0,Hospitals and Boards of Public Health
317,County of Brant,3317404.1500000004,2979818.43,11.329070140693108,0,Municipalities and Services
318,Local Health Integration Network - Toronto Central,3316097.83,2843161.7,16.634162242689186,0,Crown Agencies
319,Brescia University College,3298722.95,3295476.9,0.09850015941548218,0,Universities
320,Norfolk County,3242985.48,2492306.2700000005,30.119862034452094,0,Municipalities and Services
321,Municipality of West Nipissing,3228517.99,2967833.14,8.783676093056902,0,Municipalities and Services
322,COU Holding Association Inc.,3176840.8499999996,2370487.82,34.01633297571636,0,Other Public Sector Employers
323,Runnymede Healthcare Centre,3160588.3499999996,2316901.6399999997,36.41443794739598,0,Hospitals and Boards of Public Health
324,University of St. Michael's College,3111149.5999999996,2537147.1999999997,22.623929742822966,0,Universities
325,County of Renfrew,3068001.27,2976817.1700000004,3.06314075714631,0,Municipalities and Services
326,County of Grey,3048403.4,3061593.0399999996,-0.4308097068315697,0,Municipalities and Services
327,City of Toronto - Board of Governors of Exhibition Place,3022146.68,3109402.6499999994,-2.806197196750937,0,Municipalities and Services
328,City of Toronto - Board of Mgmt. of the Toronto Zoo,2991224.6,2971543.1199999996,0.6623319671026806,0,Municipalities and Services
329,Central West Community Care Access Centre,2932119.25,2988776.6599999997,-1.8956722580937058,0,Other Public Sector Employers
330,District Municipality of Muskoka,2926673.99,2520199.1199999996,16.12868073694116,0,Municipalities and Services
331,South East Community Care Access Centre,2913092.3500000006,4144343.990000001,-29.709204712999714,0,Other Public Sector Employers
332,Town of East Gwillimbury,2828814.8000000003,2965064.53,-4.595169131108234,0,Municipalities and Services
333,Riverside Health Care Facilities Inc.,2826341.9399999995,2756395.8500000006,2.537592341825601,0,Hospitals and Boards of Public Health
334,County of Middlesex - Middlesex London Emergency Medical Services Authority,2809298.700000001,5932146.329999997,-52.642794972995844,0,Municipalities and Services
335,Haldimand County,2781877.0200000005,2712780.4699999997,2.5470748836525114,0,Municipalities and Services
336,Waterloo Wellington Community Care Access Centre,2771823.8399999994,3191096.4499999997,-13.138825998192571,0,Other Public Sector Employers
337,Children's Aid Society of the Regional Municipality of Halton,2754031.7800000003,1600602.68,72.06217473033347,0,Other Public Sector Employers
338,Grand River Conservation Authority,2746505.79,2484490.150000001,10.546052678051442,0,Other Public Sector Employers
339,Unison Health and Community Services,2721788.9800000004,2594554.0800000005,4.903921678903678,0,Other Public Sector Employers
340,Georgian Bay General Hospital,2705786.3500000006,2645546.3699999996,2.2770336095073285,0,Hospitals and Boards of Public Health
341,Human Rights Tribunal of Ontario,2680829.23,2707382.4299999997,-0.9807701972860849,0,Crown Agencies
342,TransForm Shared Service Organization,2670415.4699999997,3032362.3200000008,-11.936134663485753,0,Other Public Sector Employers
343,Ombudsman Ontario,2654806.5799999996,1869325.7799999998,42.01947078480883,0,Government of Ontario - Legislative Assembly and Offices
344,Northumberland Hills Hospital,2653173.9299999997,2405138.36,10.312736020725222,0,Hospitals and Boards of Public Health
345,County of Hastings,2642449.0200000005,2339157.7899999996,12.965830321348303,0,Municipalities and Services
346,Windsor Essex County Health Unit,2640231.43,2524971.76,4.5647904592802435,0,Hospitals and Boards of Public Health
347,Town of Smiths Falls,2599273.6399999997,1510137.0900000003,72.12170055368941,0,Municipalities and Services
348,Office of the Premier,2592968.1399999997,2202195.17,17.744701982976373,0,Government of Ontario - Ministries
349,Town of Wasaga Beach,2552803.9899999993,3527461.2099999995,-27.63055812596733,0,Municipalities and Services
350,Kenora Catholic District School Board,2529324.58,1779174.2699999998,42.16283489756181,0,School Boards
351,Kinark Child and Family Services,2522873.45,2911490.35,-13.347696653021702,0,Other Public Sector Employers
352,Surrey Place Centre,2508263.65,2384133.1600000006,5.206525041579435,0,Other Public Sector Employers
353,Town of Midland - Police Service,2496061.6,1781172.1700000002,40.1358971378943,0,Municipalities and Services
354,St. Joseph's General Hospital,2481821.77,1921346.27,29.170978118379452,0,Hospitals and Boards of Public Health
355,Chatham-Kent Children's Services,2453855.91,2570453.9399999995,-4.536087116192378,0,Other Public Sector Employers
356,Sioux Lookout Meno Ya Win Health Centre,2444014.09,2877478.1399999997,-15.064025820887728,0,Hospitals and Boards of Public Health
357,City of Orillia,2396195.4299999992,2594786.28,-7.653456915919898,0,Municipalities and Services
358,Canadian Institute for Advanced Research,2369658.11,1778138.7399999998,33.26621014960847,0,Other Public Sector Employers
359,Town of New Tecumseth,2339152.25,1997068.47,17.129296523318494,0,Municipalities and Services
360,Workplace Safety North,2294574.8499999996,2477774.1900000004,-7.3937060422766265,0,Other Public Sector Employers
361,Ontario Tourism Marketing Partnership Corporation,2286639.98,1895276.2000000002,20.649432520705947,0,Crown Agencies
362,Town of Gananoque,2274560.0599999996,2145020.24,6.039095463267019,0,Municipalities and Services
363,Valoris for Children and Adults of Prescott-Russell,2254722.8100000005,2134462.0900000003,5.634240147127656,0,Other Public Sector Employers
364,Municipality of Strathroy-Caradoc,2250699.1799999997,2701452.2100000004,-16.685582233564688,0,Municipalities and Services
365,Yee Hong Centre for Geriatric Care,2247052.8499999996,1822056.5599999996,23.325087669067756,0,Other Public Sector Employers
366,County of Bruce,2202790.0500000003,2142633.51,2.807598206564066,0,Municipalities and Services
367,County of Frontenac,2194967.51,1612646.7200000002,36.10963162471192,0,Municipalities and Services
368,Local Health Integration Network - North East,2164324.22,2679724.36,-19.233326669463857,0,Crown Agencies
369,Algoma District Services Administration Board,2142193.5999999996,1548474.42,38.34220135196031,0,Other Public Sector Employers
370,Ontario Trillium Foundation,2095750.92,2331504.8200000003,-10.111662561349554,0,Crown Agencies
371,Superior North Catholic District School Board,2084875.1700000002,2009452.4800000004,3.7533950541592143,0,School Boards
372,Local Health Integration Network - Central East,2065657.31,1751566.69,17.93198179625122,0,Crown Agencies
373,United Counties of Leeds and Grenville,2054706.9200000002,1941786.9000000001,5.815263250565761,0,Municipalities and Services
374,Sensenbrenner Hospital,2041927.86,1808368.88,12.915450082286316,0,Hospitals and Boards of Public Health
375,County of Peterborough,2039075.8500000003,2165800.9000000004,-5.851186505647865,0,Municipalities and Services
376,Catholic Children's Aid Society of Hamilton,2036348.8599999996,1281203.23,58.94034703612163,0,Other Public Sector Employers
377,Local Health Integration Network - Central West,2027214.8900000001,2104522.3000000003,-3.6733946701348885,0,Crown Agencies
378,Highland Shores Children's Aid Society,2003232.3600000006,1649096.8699999999,21.474511075871526,0,Other Public Sector Employers
379,Ontario Science Centre,2002333.4300000002,2057814.8700000003,-2.6961336905880207,0,Crown Agencies
380,Local Health Integration Network - South East,1996433.4100000001,1885849.28,5.86389014078581,0,Crown Agencies
381,Office of the Independent Police Review Director,1995308.17,1339129.33,49.00040834741479,0,Crown Agencies
382,Local Health Integration Network - Central,1995211.4200000002,1967450.1699999997,1.4110268419148975,0,Crown Agencies
383,Native Child and Family Services of Toronto,1994496.71,1769035.1600000001,12.744888010026866,0,Other Public Sector Employers
384,Lake Of The Woods District Hospital,1979153.0000000002,2003739.94,-1.2270524487324241,0,Hospitals and Boards of Public Health
385,Vineland Research and Innovation Centre,1965667.49,1721729.7600000002,14.16817758903115,0,Other Public Sector Employers
386,North Simcoe Muskoka Community Care Access Centre,1952060.3900000001,2948842.2100000004,-33.802480737007635,0,Other Public Sector Employers
387,Grey Bruce Health Unit,1949162.0099999998,2225739.61,-12.426323311018406,0,Hospitals and Boards of Public Health
388,Town of Saugeen Shores Police Services,1943361.2999999998,1697036.7199999997,14.514982327547997,0,Municipalities and Services
389,Eastern Ontario Health Unit,1924216.34,1078994.58,78.33419886131401,0,Hospitals and Boards of Public Health
390,Bruce Grey Child and Family Services,1921667.4899999995,2032364.56,-5.446713260931912,0,Other Public Sector Employers
391,North Lambton Community Health Centre,1911708.6899999997,1646207.5799999998,16.128045650233247,0,Other Public Sector Employers
392,City of Thorold,1900897.9799999997,2846232.44,-33.21353683959839,0,Municipalities and Services
393,Local Health Integration Network - Mississauga Halton,1895954.12,1809026.1199999999,4.805237416914698,0,Crown Agencies
394,Local Health Integration Network - Waterloo Wellington,1864378.0700000003,1988390.9800000002,-6.236847342769569,0,Crown Agencies
395,City of Port Colborne,1863183.07,1149312.02,62.11290211686815,0,Municipalities and Services
396,Pinecrest-Queensway Community Health Centre,1862130.7499999998,1711232.67,8.81809251573018,0,Other Public Sector Employers
397,Carlington Community Health Centre,1851492.95,1064451.3199999998,73.93871520587716,0,Other Public Sector Employers
398,Trinity College,1850896.62,1740289.26,6.355688249205205,0,Universities
399,Wellington-Dufferin-Guelph Health Unit,1847133.2600000002,2296205.0999999996,-19.557131024576137,0,Hospitals and Boards of Public Health
400,Saint Paul University,1845877.6199999996,1727931.1499999997,6.825877871349206,0,Universities
401,Cardiac Care Network of Ontario,1845265.0499999996,1129770.49,63.33096556628946,0,Other Public Sector Employers
402,Town of Deep River,1838709.93,1957822.35,-6.083923804424862,0,Municipalities and Services
403,City of Ottawa - Library Services,1837013.0399999998,1783966.52,2.973515444673236,0,Municipalities and Services
404,Dryden Regional Health Centre,1834668.81,2145719.6799999997,-14.496342318116772,0,Hospitals and Boards of Public Health
405,City of Kenora,1822839.1500000001,1428433.1099999999,27.61109618916635,0,Municipalities and Services
406,Ontario Human Rights Commission,1792632.9,1153292.57,55.43609198834949,0,Crown Agencies
407,Local Health Integration Network - North West Ontario,1786897.6500000001,1951805.5199999998,-8.44899086052383,0,Crown Agencies
408,Public Services Health and Safety Association,1782286.8200000003,1128197.2799999998,57.97652162394866,0,Other Public Sector Employers
409,Local Health Integration Network - North Simcoe Muskoka,1769299.3100000003,1351468.4999999998,30.91679976262862,0,Crown Agencies
410,University of Sudbury,1768210.4899999998,1127937.7999999998,56.76489341876832,0,Universities
411,Right To Play International,1763168.21,1502024.2100000004,17.386137870573968,0,Other Public Sector Employers
412,Local Health Integration Network - South West,1757053.0,1786023.8599999999,-1.622086952410584,0,Crown Agencies
413,Ontario Brain Institute/Institut Ontarien Du Cerveau,1742094.0799999996,1359051.28,28.184572991241332,0,Other Public Sector Employers
414,Local Health Integration Network - Champlain,1732008.67,1591670.81,8.817015372669923,0,Crown Agencies
415,Brant County Health Unit,1727383.02,1892919.97,-8.745058038560394,0,Hospitals and Boards of Public Health
416,"Family and Children's Services of Frontenac, Lennox and Addington",1718386.0400000003,1603032.6300000001,7.195948968300181,0,Other Public Sector Employers
417,Registered Nurses Association of Ontario,1717284.8099999998,1476493.84,16.308294926580924,0,Other Public Sector Employers
418,District of Cochrane Social Services Administration Board,1715556.73,1713814.34,0.10166737197447873,0,Other Public Sector Employers
419,County of Dufferin,1714214.41,1804585.14,-5.007839641193101,0,Municipalities and Services
420,County of Elgin,1704709.3000000003,1645710.38,3.585012327624759,0,Municipalities and Services
421,County of Prince Edward,1702153.0999999996,1564955.7000000002,8.766855189574985,0,Municipalities and Services
422,North Eastern Ontario Family and Children's Services,1698699.4700000002,1447812.1,17.328724494014104,0,Other Public Sector Employers
423,Thunder Bay District Health Unit,1674061.4899999998,1779241.1099999999,-5.9114877353525275,0,Hospitals and Boards of Public Health
424,Town of Fort Erie,1673182.54,1503853.67,11.259663980472268,0,Municipalities and Services
425,Circle of Home Care Services (Toronto),1672571.3800000001,1884458.93,-11.243946292849149,0,Other Public Sector Employers
426,North West Community Care Access Centre,1671979.8300000005,1802150.07,-7.2230521845497275,0,Other Public Sector Employers
427,Town of Midland,1670069.3499999999,2177897.9299999997,-23.317372821048586,0,Municipalities and Services
428,Peel Children's Centre,1668816.19,1469223.5900000003,13.584903030314099,0,Other Public Sector Employers
429,City of Pembroke,1668440.1199999999,2081762.7000000002,-19.854452190924565,0,Municipalities and Services
430,Shepherd Village,1665547.4200000002,1603889.17,3.8442961741552484,0,Other Public Sector Employers
431,Pathways to Education Canada,1663196.01,2044040.1999999997,-18.63193248351964,0,Other Public Sector Employers
432,St. Joseph's Health Centre Guelph,1653452.37,2038843.42,-18.902434891248287,0,Hospitals and Boards of Public Health
433,Board of Health for the Northwestern Health Unit,1642665.73,1130358.77,45.32250941884583,0,Hospitals and Boards of Public Health
434,County of Lanark,1634843.56,1850341.68,-11.646396032110129,0,Municipalities and Services
435,Northwest Catholic District School Board,1630858.8299999998,1399148.72,16.56079205075496,0,School Boards
436,Children's Aid Society Of Oxford County,1576722.06,1344865.45,17.240134319756685,0,Other Public Sector Employers
437,Huron-Perth Children's Aid Society,1570185.76,1166011.7999999998,34.662939088609576,0,Other Public Sector Employers
438,North Bay Parry Sound District Health Unit,1562821.42,1467601.24,6.488150691396255,0,Hospitals and Boards of Public Health
439,City of Elliot Lake,1560919.5999999996,1491821.8100000003,4.631772342837603,0,Municipalities and Services
440,The Ontario French Language Educational Communications Authority,1558847.0399999996,1624202.35,-4.023840379248345,0,Crown Agencies
441,Tillsonburg District Memorial Hospital,1538327.59,1342895.4600000002,14.553041232263887,0,Hospitals and Boards of Public Health
442,Town of Aylmer,1526011.4600000002,1759660.0999999999,-13.278055233507857,0,Municipalities and Services
443,South Bruce Grey Health Centre,1524082.1099999999,904892.0800000001,68.42694766430044,0,Hospitals and Boards of Public Health
444,Kawartha Haliburton Children's Aid Society,1521127.41,1272501.4900000002,19.538359833276076,0,Other Public Sector Employers
445,Central Toronto Community Health Centres,1515130.4,1562525.41,-3.0332313123791033,0,Other Public Sector Employers
446,Youthdale Treatment Centres,1513430.94,1193916.7199999997,26.76185153014694,0,Other Public Sector Employers
447,NorWest Community Health Centres,1493712.36,1602696.6999999997,-6.800060173581168,0,Other Public Sector Employers
448,Winchester District Memorial Hospital,1491873.6199999999,1614491.63,-7.594837143875443,0,Hospitals and Boards of Public Health
449,Township of Oro-Medonte,1488048.84,1342971.5199999998,10.802710097679524,0,Municipalities and Services
450,"Sandy Hill Community Health Centre, Inc.",1478488.2,1766105.95,-16.28541877682933,0,Other Public Sector Employers
451,Township of King,1474424.05,1221475.12,20.708479923848145,0,Municipalities and Services
452,Social Benefits Tribunal,1472623.1700000002,2114727.749999999,-30.36346309826403,0,Crown Agencies
453,Renfrew Victoria Hospital,1467075.75,2012877.0799999998,-27.11548238206378,0,Hospitals and Boards of Public Health
454,Strathroy Middlesex General Hospital,1460276.77,934567.8800000001,56.251546971633545,0,Hospitals and Boards of Public Health
455,Ontario Municipal Board,1454496.89,1872263.5700000003,-22.313454510039964,0,Crown Agencies
456,West Parry Sound Health Centre,1442391.19,1412158.26,2.140902394325117,0,Hospitals and Boards of Public Health
457,Haliburton Highlands Health Services Corporation,1435283.5700000003,967441.5700000002,48.35868278846029,0,Hospitals and Boards of Public Health
458,Kenora District Services Board,1430716.17,1416067.26,1.0344784046486533,0,Other Public Sector Employers
459,Town of Pelham,1423372.5899999999,992653.44,43.39068728759958,0,Municipalities and Services
460,Local Health Integration Network - Hamilton Niagara Haldimand Brant,1420951.95,1446537.57,-1.7687490826802432,0,Crown Agencies
461,HealthForceOntario Marketing and Recruitment Agency,1411372.7,687017.22,105.434836116626,0,Crown Agencies
462,Scarborough Centre for Healthy Communities,1405911.78,1531719.8399999999,-8.213516382995978,0,Other Public Sector Employers
463,County of Middlesex,1399347.4200000002,1083120.58,29.19590356227928,0,Municipalities and Services
464,Local Health Integration Network - Erie St. Clair,1393096.51,1421718.07,-2.013167069051891,0,Crown Agencies
465,YMCA of Hamilton / Burlington / Brantford,1391177.26,1416068.8199999998,-1.7577930993494917,0,Other Public Sector Employers
466,City of Dryden,1390094.0800000003,1599560.1,-13.095226618868516,0,Municipalities and Services
467,Township of Centre Wellington,1386932.3599999999,1306904.57,6.123460873658115,0,Municipalities and Services
468,Ontario Society For the Prevention of Cruelty to Animals,1382724.72,1425273.2799999998,-2.985291354090347,0,Other Public Sector Employers
469,Town of Lakeshore,1357261.44,1474996.5200000003,-7.982058154279592,0,Municipalities and Services
470,Town of Hanover,1353595.69,1667052.96,-18.803078097770808,0,Municipalities and Services
471,Carefirst Family Health Team,1335993.9899999998,1509036.85,-11.467106320167087,0,Other Public Sector Employers
472,Stevenson Memorial Hospital,1313751.0899999999,1771709.69,-25.84839957611792,0,Hospitals and Boards of Public Health
473,Town of Tillsonburg,1310505.31,1197025.82,9.48012048729241,0,Municipalities and Services
474,Office of the Chief Electoral Officer,1299873.56,1525984.0799999998,-14.817357727611402,0,Government of Ontario - Legislative Assembly and Offices
475,Halton Region Conservation Authority,1296223.54,1253311.58,3.4238860220217493,0,Other Public Sector Employers
476,Regent Park Community Health Centre,1295077.01,1033316.01,25.332134358394388,0,Other Public Sector Employers
477,Town of Renfrew,1293925.1400000001,1195806.97,8.205184654509923,0,Municipalities and Services
478,Family and Children's Services of Renfrew County,1291180.74,1415724.0,-8.797142663400493,0,Other Public Sector Employers
479,Almonte General Hospital,1290693.07,1547725.29,-16.607095694611285,0,Hospitals and Boards of Public Health
480,Groves Memorial Community Hospital,1260266.7899999996,950113.1999999998,32.64385654256774,0,Hospitals and Boards of Public Health
481,Rideau Community Health Services,1250666.0899999999,1464765.2,-14.616616369640688,0,Other Public Sector Employers
482,Town of Kirkland Lake,1246915.57,1051417.36,18.59377802169824,0,Municipalities and Services
483,The Hincks-Dellcrest Treatment Centre,1246801.3800000001,1107794.08,12.548117245761059,0,Other Public Sector Employers
484,Windsor Essex Community Health Centre,1240466.04,1390996.43,-10.821766810717115,0,Other Public Sector Employers
485,County of Perth,1239667.9099999997,1276163.4600000002,-2.859786472808157,0,Municipalities and Services
486,Langs Farm Village Association,1231184.78,1387002.65,-11.234143640605154,0,Other Public Sector Employers
487,Barrie Community Health Centre,1221619.1300000001,1069629.5599999998,14.209552136909931,0,Other Public Sector Employers
488,Town of The Blue Mountains,1207474.5,853267.76,41.5117922655369,0,Municipalities and Services
489,Belleville and Quinte West Community Health Centre,1203313.77,1444977.82,-16.72441242039272,0,Other Public Sector Employers
490,Ongwanada Hospital,1199811.6300000001,1407492.7399999998,-14.755394759620543,0,Other Public Sector Employers
491,The Four Villages Community Health Centre,1194194.21,1438949.28,-17.009290973758308,0,Other Public Sector Employers
492,Board of Health For The District of Algoma Health Unit,1191561.79,1360196.0500000003,-12.39779074494447,0,Hospitals and Boards of Public Health
493,Kemptville District Hospital,1185312.14,1120880.77,5.748280434858377,0,Hospitals and Boards of Public Health
494,Gateway Community Health Centre,1184795.89,927646.2599999999,27.720656147527613,0,Other Public Sector Employers
495,West Haldimand General Hospital,1179190.34,1510547.0299999998,-21.93620479330589,0,Hospitals and Boards of Public Health
496,Manitoulin Health Centre,1178263.13,906058.1699999999,30.042768666828536,0,Hospitals and Boards of Public Health
497,Woolwich Community Health Centre,1177760.3599999999,1101018.68,6.970061579699993,0,Other Public Sector Employers
498,Town of Kapuskasing,1175162.1099999999,875350.6500000001,34.25044123746292,0,Municipalities and Services
499,Guelph Community Health Centre,1172920.31,1187720.56,-1.2461053970472702,0,Other Public Sector Employers
500,Flemingdon Health Centre,1166516.8099999998,984312.1099999999,18.51086643645987,0,Other Public Sector Employers
501,WellFort Community Health Services,1156446.18,1168462.63,-1.028398315143375,0,Other Public Sector Employers
502,Manitoulin-Sudbury District Services Board,1152953.0399999998,941363.8699999999,22.47687389999362,0,Other Public Sector Employers
503,Centretown Community Health Centre Inc.,1144120.93,1083611.85,5.584017930405594,0,Other Public Sector Employers
504,District of Timiskaming Social Services Administration Board,1140003.6600000001,1001557.9299999999,13.82303767491515,0,Other Public Sector Employers
505,Campbellford Memorial Hospital,1138148.94,915934.8300000001,24.260908387990867,0,Hospitals and Boards of Public Health
506,Board of Health for the Porcupine Health Unit,1131306.7799999998,730849.99,54.7932948593185,0,Hospitals and Boards of Public Health
507,Temiskaming Hospital,1129074.6,1563180.32,-27.770674594982104,0,Hospitals and Boards of Public Health
508,South Riverdale Community Health Centre,1127125.29,883425.05,27.585842171896747,0,Other Public Sector Employers
509,Municipality of Leamington,1124734.45,1409264.19,-20.18995033145631,0,Municipalities and Services
510,Institute for Work and Health,1119731.94,1081533.44,3.53188339696644,0,Other Public Sector Employers
511,Ontario Heritage Trust,1110775.07,825189.2100000001,34.60853056961324,0,Crown Agencies
512,The Perley and Rideau Veterans' Health Centre,1105941.49,1096803.6300000001,0.8331354629086851,0,Other Public Sector Employers
513,Town of Essex,1082993.8800000001,1184239.3699999999,-8.54941091850373,0,Municipalities and Services
514,Ontario Arts Council,1079542.41,1948777.3800000001,-44.604118403714246,0,Crown Agencies
515,Country Roads Community Health Centre,1078280.74,963232.5599999999,11.943967093471187,0,Other Public Sector Employers
516,Somerset West Community Health Centre,1076452.89,912205.98,18.00546297668426,0,Other Public Sector Employers
517,Black Creek Community Health Centre,1076358.25,737225.18,46.00128687953928,0,Other Public Sector Employers
518,Perth District Health Unit,1070014.72,942667.4400000001,13.509247757618525,0,Hospitals and Boards of Public Health
519,Thames Valley Children's Centre,1063908.56,950656.3500000001,11.913054596437501,0,Other Public Sector Employers
520,District Of Thunder Bay Social Services Administration Board,1061914.33,928254.0500000002,14.399105503498744,0,Other Public Sector Employers
521,West Nipissing General Hospital,1059771.72,958116.11,10.609946846630102,0,Hospitals and Boards of Public Health
522,Town of Shelburne,1058845.4200000002,1030370.2899999999,2.7635822069365323,0,Municipalities and Services
523,Earlscourt-Creche Child Development Institute,1053811.92,1156607.29,-8.887664022937303,0,Other Public Sector Employers
524,Children's Aid Society of Algoma,1041723.0,1036091.0,0.5435815965972202,0,Other Public Sector Employers
525,Rexdale Community Health Centre,1035371.12,590061.47,75.4683490857317,0,Other Public Sector Employers
526,Thorneloe University,1032662.79,920055.45,12.239190583567549,0,Universities
527,Parkdale Community Health Centre,1029387.1600000001,887675.9199999999,15.96429922307685,0,Other Public Sector Employers
528,Canadian Film Centre,1017033.78,1009096.1000000001,0.7866128904868264,0,Other Public Sector Employers
529,Kingston Community Health Centres,1016012.4400000001,1550371.59,-34.466521022872975,0,Other Public Sector Employers
530,East End Community Health Centre,1007584.8999999999,1002575.78,0.49962507572245407,0,Other Public Sector Employers
531,Windsor Family Health Team,998178.65,1037565.55,-3.796087871267506,0,Other Public Sector Employers
532,Petawawa Centennial Family Health Centre,995890.13,1599589.59,-37.74089702596777,0,Other Public Sector Employers
533,Haldimand War Memorial Hospital,985105.4700000001,1191918.97,-17.351305349221846,0,Hospitals and Boards of Public Health
534,Community Living Mississauga,977300.9099999999,814868.3400000001,19.93359688020273,0,Other Public Sector Employers
535,Reach Out Centre for Kids,970386.65,569948.75,70.25858026708542,0,Other Public Sector Employers
536,North Wellington Health Care Corporation,966102.98,1149114.21,-15.926287257382366,0,Hospitals and Boards of Public Health
537,Township of Russell,962896.12,376643.04000000004,155.65217400539245,0,Municipalities and Services
538,Assessment Review Board,960884.8400000001,825299.81,16.42857884578939,0,Crown Agencies
539,Hospital Diagnostic Imaging Repository,943926.98,1268645.57,-25.595690213145982,0,Other Public Sector Employers
540,City of Clarence-Rockland,938624.34,822868.9299999999,14.067296233921489,0,Municipalities and Services
541,County of Haliburton,938268.6500000001,887752.1699999999,5.690380908897152,0,Municipalities and Services
542,Kids Help Phone,936672.79,994693.9700000001,-5.833068436114075,0,Other Public Sector Employers
543,Financial Accountability Officer,925967.8300000001,188328.07,391.6780753925849,0,Government of Ontario - Legislative Assembly and Offices
544,Human Rights Legal Support Centre,923573.87,825093.19,11.93570389303542,0,Crown Agencies
545,Lady Dunn Health Centre,923123.1399999999,906942.48,1.7840888873128957,0,Hospitals and Boards of Public Health
546,Science North,922483.4700000001,818373.97,12.721506770309432,0,Crown Agencies
547,"Religious Hospitallers of St. Joseph of Cornwall, Ontario",916661.0199999999,711755.5599999999,28.788740336640295,0,Hospitals and Boards of Public Health
548,Municipality of West Grey,911541.7299999999,1139903.05,-20.033398454368566,0,Municipalities and Services
549,Ontario Media Development Corporation,900661.08,674785.91,33.47360498383849,0,Crown Agencies
550,MaRS Investment Accelerator Fund,898355.59,681155.8,31.886947156582956,0,Other Public Sector Employers
551,Town of Bracebridge,896062.72,840763.4500000001,6.577268552765925,0,Municipalities and Services
552,Niagara Falls Community Health Centre Inc.,889068.44,498270.55,78.430862510337,0,Other Public Sector Employers
553,Office of the Worker Adviser,888999.28,779923.74,13.985410932612474,0,Crown Agencies
554,Lake Simcoe Region Conservation Authority,882862.23,1279515.06,-31.000247077982813,0,Other Public Sector Employers
555,Township of Tiny,877894.4099999999,1007840.6699999999,-12.893532069905456,0,Municipalities and Services
556,Arnprior Regional Health,868715.9400000001,894785.5400000002,-2.913502603093032,0,Hospitals and Boards of Public Health
557,South-East Ottawa Community Centre,868237.04,864623.5900000001,0.41792174557715445,0,Other Public Sector Employers
558,Town of Lincoln,864708.6699999999,825851.0800000001,4.705157012085026,0,Municipalities and Services
559,YWCA Toronto,864535.2200000001,827119.03,4.523676598276305,0,Other Public Sector Employers
560,East Nipissing District Home For The Aged,856319.84,486308.57999999996,76.08569439593273,0,Other Public Sector Employers
561,Town of Hawkesbury / Ville de Hawkesbury,845380.2300000001,1001289.1299999999,-15.570817192432695,0,Municipalities and Services
562,Listowel Memorial Hospital,844597.27,844538.3199999998,0.006980145080937028,0,Hospitals and Boards of Public Health
563,Town of Huntsville,839460.4,1054679.29,-20.406098047113453,0,Municipalities and Services
564,Ontario Lung Association,832340.95,1075522.7000000002,-22.610564147088684,0,Other Public Sector Employers
